cell_id,dataset_protocol,method,beta,alpha_dir,seed,rounds,role,expected
PRIMARY__CICIDS2017_COVERAGE_R1__Utility-Cost-Ratio__b0.6__seed2718,CICIDS2017_COVERAGE_R1,Utility-Cost-Ratio,0.6,0.5,2718,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Utility-Cost-Ratio__b0.6__seed9001,CICIDS2017_COVERAGE_R1,Utility-Cost-Ratio,0.6,0.5,9001,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Utility-Cost-Ratio__b0.6__seed2027,CICIDS2017_COVERAGE_R1,Utility-Cost-Ratio,0.6,0.5,2027,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__CB-Score__b0.6__seed42,CICIDS2017_COVERAGE_R1,CB-Score,0.6,0.5,42,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__CB-Score__b0.6__seed123,CICIDS2017_COVERAGE_R1,CB-Score,0.6,0.5,123,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__CB-Score__b0.6__seed777,CICIDS2017_COVERAGE_R1,CB-Score,0.6,0.5,777,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__CB-Score__b0.6__seed2026,CICIDS2017_COVERAGE_R1,CB-Score,0.6,0.5,2026,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__CB-Score__b0.6__seed3407,CICIDS2017_COVERAGE_R1,CB-Score,0.6,0.5,3407,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__CB-Score__b0.6__seed11,CICIDS2017_COVERAGE_R1,CB-Score,0.6,0.5,11,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__CB-Score__b0.6__seed314,CICIDS2017_COVERAGE_R1,CB-Score,0.6,0.5,314,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__CB-Score__b0.6__seed2718,CICIDS2017_COVERAGE_R1,CB-Score,0.6,0.5,2718,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__CB-Score__b0.6__seed9001,CICIDS2017_COVERAGE_R1,CB-Score,0.6,0.5,9001,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__CB-Score__b0.6__seed2027,CICIDS2017_COVERAGE_R1,CB-Score,0.6,0.5,2027,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Historical-DoubleCost__b0.6__seed42,CICIDS2017_COVERAGE_R1,Historical-DoubleCost,0.6,0.5,42,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Historical-DoubleCost__b0.6__seed123,CICIDS2017_COVERAGE_R1,Historical-DoubleCost,0.6,0.5,123,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Historical-DoubleCost__b0.6__seed777,CICIDS2017_COVERAGE_R1,Historical-DoubleCost,0.6,0.5,777,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Historical-DoubleCost__b0.6__seed2026,CICIDS2017_COVERAGE_R1,Historical-DoubleCost,0.6,0.5,2026,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Historical-DoubleCost__b0.6__seed3407,CICIDS2017_COVERAGE_R1,Historical-DoubleCost,0.6,0.5,3407,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Historical-DoubleCost__b0.6__seed11,CICIDS2017_COVERAGE_R1,Historical-DoubleCost,0.6,0.5,11,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Historical-DoubleCost__b0.6__seed314,CICIDS2017_COVERAGE_R1,Historical-DoubleCost,0.6,0.5,314,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Historical-DoubleCost__b0.6__seed2718,CICIDS2017_COVERAGE_R1,Historical-DoubleCost,0.6,0.5,2718,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Historical-DoubleCost__b0.6__seed9001,CICIDS2017_COVERAGE_R1,Historical-DoubleCost,0.6,0.5,9001,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Historical-DoubleCost__b0.6__seed2027,CICIDS2017_COVERAGE_R1,Historical-DoubleCost,0.6,0.5,2027,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Oort-Style-Adapted__b0.6__seed42,CICIDS2017_COVERAGE_R1,Oort-Style-Adapted,0.6,0.5,42,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Oort-Style-Adapted__b0.6__seed123,CICIDS2017_COVERAGE_R1,Oort-Style-Adapted,0.6,0.5,123,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Oort-Style-Adapted__b0.6__seed777,CICIDS2017_COVERAGE_R1,Oort-Style-Adapted,0.6,0.5,777,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Oort-Style-Adapted__b0.6__seed2026,CICIDS2017_COVERAGE_R1,Oort-Style-Adapted,0.6,0.5,2026,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Oort-Style-Adapted__b0.6__seed3407,CICIDS2017_COVERAGE_R1,Oort-Style-Adapted,0.6,0.5,3407,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Oort-Style-Adapted__b0.6__seed11,CICIDS2017_COVERAGE_R1,Oort-Style-Adapted,0.6,0.5,11,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Oort-Style-Adapted__b0.6__seed314,CICIDS2017_COVERAGE_R1,Oort-Style-Adapted,0.6,0.5,314,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Oort-Style-Adapted__b0.6__seed2718,CICIDS2017_COVERAGE_R1,Oort-Style-Adapted,0.6,0.5,2718,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Oort-Style-Adapted__b0.6__seed9001,CICIDS2017_COVERAGE_R1,Oort-Style-Adapted,0.6,0.5,9001,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Oort-Style-Adapted__b0.6__seed2027,CICIDS2017_COVERAGE_R1,Oort-Style-Adapted,0.6,0.5,2027,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Oracle-Score-Exact__b0.6__seed42,CICIDS2017_COVERAGE_R1,Oracle-Score-Exact,0.6,0.5,42,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Oracle-Score-Exact__b0.6__seed123,CICIDS2017_COVERAGE_R1,Oracle-Score-Exact,0.6,0.5,123,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Oracle-Score-Exact__b0.6__seed777,CICIDS2017_COVERAGE_R1,Oracle-Score-Exact,0.6,0.5,777,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Oracle-Score-Exact__b0.6__seed2026,CICIDS2017_COVERAGE_R1,Oracle-Score-Exact,0.6,0.5,2026,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Oracle-Score-Exact__b0.6__seed3407,CICIDS2017_COVERAGE_R1,Oracle-Score-Exact,0.6,0.5,3407,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Oracle-Score-Exact__b0.6__seed11,CICIDS2017_COVERAGE_R1,Oracle-Score-Exact,0.6,0.5,11,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Oracle-Score-Exact__b0.6__seed314,CICIDS2017_COVERAGE_R1,Oracle-Score-Exact,0.6,0.5,314,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Oracle-Score-Exact__b0.6__seed2718,CICIDS2017_COVERAGE_R1,Oracle-Score-Exact,0.6,0.5,2718,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Oracle-Score-Exact__b0.6__seed9001,CICIDS2017_COVERAGE_R1,Oracle-Score-Exact,0.6,0.5,9001,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Oracle-Score-Exact__b0.6__seed2027,CICIDS2017_COVERAGE_R1,Oracle-Score-Exact,0.6,0.5,2027,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Random-Budget__b0.8__seed42,CICIDS2017_COVERAGE_R1,Random-Budget,0.8,0.5,42,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Random-Budget__b0.8__seed123,CICIDS2017_COVERAGE_R1,Random-Budget,0.8,0.5,123,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Random-Budget__b0.8__seed777,CICIDS2017_COVERAGE_R1,Random-Budget,0.8,0.5,777,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Random-Budget__b0.8__seed2026,CICIDS2017_COVERAGE_R1,Random-Budget,0.8,0.5,2026,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Random-Budget__b0.8__seed3407,CICIDS2017_COVERAGE_R1,Random-Budget,0.8,0.5,3407,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Random-Budget__b0.8__seed11,CICIDS2017_COVERAGE_R1,Random-Budget,0.8,0.5,11,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Random-Budget__b0.8__seed314,CICIDS2017_COVERAGE_R1,Random-Budget,0.8,0.5,314,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Random-Budget__b0.8__seed2718,CICIDS2017_COVERAGE_R1,Random-Budget,0.8,0.5,2718,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Random-Budget__b0.8__seed9001,CICIDS2017_COVERAGE_R1,Random-Budget,0.8,0.5,9001,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Random-Budget__b0.8__seed2027,CICIDS2017_COVERAGE_R1,Random-Budget,0.8,0.5,2027,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Cost-Only__b0.8__seed42,CICIDS2017_COVERAGE_R1,Cost-Only,0.8,0.5,42,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Cost-Only__b0.8__seed123,CICIDS2017_COVERAGE_R1,Cost-Only,0.8,0.5,123,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Cost-Only__b0.8__seed777,CICIDS2017_COVERAGE_R1,Cost-Only,0.8,0.5,777,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Cost-Only__b0.8__seed2026,CICIDS2017_COVERAGE_R1,Cost-Only,0.8,0.5,2026,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Cost-Only__b0.8__seed3407,CICIDS2017_COVERAGE_R1,Cost-Only,0.8,0.5,3407,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Cost-Only__b0.8__seed11,CICIDS2017_COVERAGE_R1,Cost-Only,0.8,0.5,11,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Cost-Only__b0.8__seed314,CICIDS2017_COVERAGE_R1,Cost-Only,0.8,0.5,314,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Cost-Only__b0.8__seed2718,CICIDS2017_COVERAGE_R1,Cost-Only,0.8,0.5,2718,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Cost-Only__b0.8__seed9001,CICIDS2017_COVERAGE_R1,Cost-Only,0.8,0.5,9001,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Cost-Only__b0.8__seed2027,CICIDS2017_COVERAGE_R1,Cost-Only,0.8,0.5,2027,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Utility-Only__b0.8__seed42,CICIDS2017_COVERAGE_R1,Utility-Only,0.8,0.5,42,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Utility-Only__b0.8__seed123,CICIDS2017_COVERAGE_R1,Utility-Only,0.8,0.5,123,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Utility-Only__b0.8__seed777,CICIDS2017_COVERAGE_R1,Utility-Only,0.8,0.5,777,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Utility-Only__b0.8__seed2026,CICIDS2017_COVERAGE_R1,Utility-Only,0.8,0.5,2026,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Utility-Only__b0.8__seed3407,CICIDS2017_COVERAGE_R1,Utility-Only,0.8,0.5,3407,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Utility-Only__b0.8__seed11,CICIDS2017_COVERAGE_R1,Utility-Only,0.8,0.5,11,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Utility-Only__b0.8__seed314,CICIDS2017_COVERAGE_R1,Utility-Only,0.8,0.5,314,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Utility-Only__b0.8__seed2718,CICIDS2017_COVERAGE_R1,Utility-Only,0.8,0.5,2718,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Utility-Only__b0.8__seed9001,CICIDS2017_COVERAGE_R1,Utility-Only,0.8,0.5,9001,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Utility-Only__b0.8__seed2027,CICIDS2017_COVERAGE_R1,Utility-Only,0.8,0.5,2027,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Utility-Cost-Ratio__b0.8__seed42,CICIDS2017_COVERAGE_R1,Utility-Cost-Ratio,0.8,0.5,42,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Utility-Cost-Ratio__b0.8__seed123,CICIDS2017_COVERAGE_R1,Utility-Cost-Ratio,0.8,0.5,123,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Utility-Cost-Ratio__b0.8__seed777,CICIDS2017_COVERAGE_R1,Utility-Cost-Ratio,0.8,0.5,777,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Utility-Cost-Ratio__b0.8__seed2026,CICIDS2017_COVERAGE_R1,Utility-Cost-Ratio,0.8,0.5,2026,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Utility-Cost-Ratio__b0.8__seed3407,CICIDS2017_COVERAGE_R1,Utility-Cost-Ratio,0.8,0.5,3407,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Utility-Cost-Ratio__b0.8__seed11,CICIDS2017_COVERAGE_R1,Utility-Cost-Ratio,0.8,0.5,11,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Utility-Cost-Ratio__b0.8__seed314,CICIDS2017_COVERAGE_R1,Utility-Cost-Ratio,0.8,0.5,314,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Utility-Cost-Ratio__b0.8__seed2718,CICIDS2017_COVERAGE_R1,Utility-Cost-Ratio,0.8,0.5,2718,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Utility-Cost-Ratio__b0.8__seed9001,CICIDS2017_COVERAGE_R1,Utility-Cost-Ratio,0.8,0.5,9001,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Utility-Cost-Ratio__b0.8__seed2027,CICIDS2017_COVERAGE_R1,Utility-Cost-Ratio,0.8,0.5,2027,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__CB-Score__b0.8__seed42,CICIDS2017_COVERAGE_R1,CB-Score,0.8,0.5,42,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__CB-Score__b0.8__seed123,CICIDS2017_COVERAGE_R1,CB-Score,0.8,0.5,123,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__CB-Score__b0.8__seed777,CICIDS2017_COVERAGE_R1,CB-Score,0.8,0.5,777,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__CB-Score__b0.8__seed2026,CICIDS2017_COVERAGE_R1,CB-Score,0.8,0.5,2026,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__CB-Score__b0.8__seed3407,CICIDS2017_COVERAGE_R1,CB-Score,0.8,0.5,3407,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__CB-Score__b0.8__seed11,CICIDS2017_COVERAGE_R1,CB-Score,0.8,0.5,11,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__CB-Score__b0.8__seed314,CICIDS2017_COVERAGE_R1,CB-Score,0.8,0.5,314,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__CB-Score__b0.8__seed2718,CICIDS2017_COVERAGE_R1,CB-Score,0.8,0.5,2718,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__CB-Score__b0.8__seed9001,CICIDS2017_COVERAGE_R1,CB-Score,0.8,0.5,9001,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__CB-Score__b0.8__seed2027,CICIDS2017_COVERAGE_R1,CB-Score,0.8,0.5,2027,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Historical-DoubleCost__b0.8__seed42,CICIDS2017_COVERAGE_R1,Historical-DoubleCost,0.8,0.5,42,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Historical-DoubleCost__b0.8__seed123,CICIDS2017_COVERAGE_R1,Historical-DoubleCost,0.8,0.5,123,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Historical-DoubleCost__b0.8__seed777,CICIDS2017_COVERAGE_R1,Historical-DoubleCost,0.8,0.5,777,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Historical-DoubleCost__b0.8__seed2026,CICIDS2017_COVERAGE_R1,Historical-DoubleCost,0.8,0.5,2026,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Historical-DoubleCost__b0.8__seed3407,CICIDS2017_COVERAGE_R1,Historical-DoubleCost,0.8,0.5,3407,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Historical-DoubleCost__b0.8__seed11,CICIDS2017_COVERAGE_R1,Historical-DoubleCost,0.8,0.5,11,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Historical-DoubleCost__b0.8__seed314,CICIDS2017_COVERAGE_R1,Historical-DoubleCost,0.8,0.5,314,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Historical-DoubleCost__b0.8__seed2718,CICIDS2017_COVERAGE_R1,Historical-DoubleCost,0.8,0.5,2718,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Historical-DoubleCost__b0.8__seed9001,CICIDS2017_COVERAGE_R1,Historical-DoubleCost,0.8,0.5,9001,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Historical-DoubleCost__b0.8__seed2027,CICIDS2017_COVERAGE_R1,Historical-DoubleCost,0.8,0.5,2027,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Oort-Style-Adapted__b0.8__seed42,CICIDS2017_COVERAGE_R1,Oort-Style-Adapted,0.8,0.5,42,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Oort-Style-Adapted__b0.8__seed123,CICIDS2017_COVERAGE_R1,Oort-Style-Adapted,0.8,0.5,123,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Oort-Style-Adapted__b0.8__seed777,CICIDS2017_COVERAGE_R1,Oort-Style-Adapted,0.8,0.5,777,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Oort-Style-Adapted__b0.8__seed2026,CICIDS2017_COVERAGE_R1,Oort-Style-Adapted,0.8,0.5,2026,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Oort-Style-Adapted__b0.8__seed3407,CICIDS2017_COVERAGE_R1,Oort-Style-Adapted,0.8,0.5,3407,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Oort-Style-Adapted__b0.8__seed11,CICIDS2017_COVERAGE_R1,Oort-Style-Adapted,0.8,0.5,11,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Oort-Style-Adapted__b0.8__seed314,CICIDS2017_COVERAGE_R1,Oort-Style-Adapted,0.8,0.5,314,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Oort-Style-Adapted__b0.8__seed2718,CICIDS2017_COVERAGE_R1,Oort-Style-Adapted,0.8,0.5,2718,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Oort-Style-Adapted__b0.8__seed9001,CICIDS2017_COVERAGE_R1,Oort-Style-Adapted,0.8,0.5,9001,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Oort-Style-Adapted__b0.8__seed2027,CICIDS2017_COVERAGE_R1,Oort-Style-Adapted,0.8,0.5,2027,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Oracle-Score-Exact__b0.8__seed42,CICIDS2017_COVERAGE_R1,Oracle-Score-Exact,0.8,0.5,42,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Oracle-Score-Exact__b0.8__seed123,CICIDS2017_COVERAGE_R1,Oracle-Score-Exact,0.8,0.5,123,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Oracle-Score-Exact__b0.8__seed777,CICIDS2017_COVERAGE_R1,Oracle-Score-Exact,0.8,0.5,777,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Oracle-Score-Exact__b0.8__seed2026,CICIDS2017_COVERAGE_R1,Oracle-Score-Exact,0.8,0.5,2026,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Oracle-Score-Exact__b0.8__seed3407,CICIDS2017_COVERAGE_R1,Oracle-Score-Exact,0.8,0.5,3407,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Oracle-Score-Exact__b0.8__seed11,CICIDS2017_COVERAGE_R1,Oracle-Score-Exact,0.8,0.5,11,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Oracle-Score-Exact__b0.8__seed314,CICIDS2017_COVERAGE_R1,Oracle-Score-Exact,0.8,0.5,314,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Oracle-Score-Exact__b0.8__seed2718,CICIDS2017_COVERAGE_R1,Oracle-Score-Exact,0.8,0.5,2718,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Oracle-Score-Exact__b0.8__seed9001,CICIDS2017_COVERAGE_R1,Oracle-Score-Exact,0.8,0.5,9001,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Oracle-Score-Exact__b0.8__seed2027,CICIDS2017_COVERAGE_R1,Oracle-Score-Exact,0.8,0.5,2027,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Random-Budget__b1.0__seed42,CICIDS2017_COVERAGE_R1,Random-Budget,1.0,0.5,42,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Random-Budget__b1.0__seed123,CICIDS2017_COVERAGE_R1,Random-Budget,1.0,0.5,123,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Random-Budget__b1.0__seed777,CICIDS2017_COVERAGE_R1,Random-Budget,1.0,0.5,777,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Random-Budget__b1.0__seed2026,CICIDS2017_COVERAGE_R1,Random-Budget,1.0,0.5,2026,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Random-Budget__b1.0__seed3407,CICIDS2017_COVERAGE_R1,Random-Budget,1.0,0.5,3407,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Random-Budget__b1.0__seed11,CICIDS2017_COVERAGE_R1,Random-Budget,1.0,0.5,11,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Random-Budget__b1.0__seed314,CICIDS2017_COVERAGE_R1,Random-Budget,1.0,0.5,314,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Random-Budget__b1.0__seed2718,CICIDS2017_COVERAGE_R1,Random-Budget,1.0,0.5,2718,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Random-Budget__b1.0__seed9001,CICIDS2017_COVERAGE_R1,Random-Budget,1.0,0.5,9001,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Random-Budget__b1.0__seed2027,CICIDS2017_COVERAGE_R1,Random-Budget,1.0,0.5,2027,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Cost-Only__b1.0__seed42,CICIDS2017_COVERAGE_R1,Cost-Only,1.0,0.5,42,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Cost-Only__b1.0__seed123,CICIDS2017_COVERAGE_R1,Cost-Only,1.0,0.5,123,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Cost-Only__b1.0__seed777,CICIDS2017_COVERAGE_R1,Cost-Only,1.0,0.5,777,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Cost-Only__b1.0__seed2026,CICIDS2017_COVERAGE_R1,Cost-Only,1.0,0.5,2026,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Cost-Only__b1.0__seed3407,CICIDS2017_COVERAGE_R1,Cost-Only,1.0,0.5,3407,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Cost-Only__b1.0__seed11,CICIDS2017_COVERAGE_R1,Cost-Only,1.0,0.5,11,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Cost-Only__b1.0__seed314,CICIDS2017_COVERAGE_R1,Cost-Only,1.0,0.5,314,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Cost-Only__b1.0__seed2718,CICIDS2017_COVERAGE_R1,Cost-Only,1.0,0.5,2718,30,primary_budget_tradeoff,1
PRIMARY__CICIDS2017_COVERAGE_R1__Cost-Only__b1.0__seed9001,CICIDS2017_COVERAGE_R1,Cost-Only,1.0,0.5,9001,30,primary_budget_tradeoff,1
